x	y	key	label	showSelected1	showSelected2	group
-0.2	-0.1	1	iteration=1	1	2e-04	-1
-0.2	-0.1	1	iteration=1	1	2e-04	-1
-0.2	-0.1	1	iteration=2	2	2e-04	-1
-0.2	-0.1	1	iteration=2	2	2e-04	-1
-0.2	-0.1	1	iteration=3	3	2e-04	-1
-0.2	-0.1	1	iteration=3	3	2e-04	-1
-0.2	-0.1	1	iteration=4	4	2e-04	-1
-0.2	-0.1	1	iteration=4	4	2e-04	-1
-0.2	-0.1	1	iteration=5	5	2e-04	-1
-0.2	-0.1	1	iteration=5	5	2e-04	-1
-0.2	-0.1	1	iteration=6	6	2e-04	-1
-0.2	-0.1	1	iteration=6	6	2e-04	-1
-0.2	-0.1	1	iteration=7	7	2e-04	-1
-0.2	-0.1	1	iteration=7	7	2e-04	-1
-0.2	-0.1	1	iteration=8	8	2e-04	-1
-0.2	-0.1	1	iteration=8	8	2e-04	-1
-0.2	-0.1	1	iteration=9	9	2e-04	-1
-0.2	-0.1	1	iteration=9	9	2e-04	-1
-0.2	-0.1	1	iteration=10	10	2e-04	-1
-0.2	-0.1	1	iteration=10	10	2e-04	-1
-0.2	-0.1	1	iteration=11	11	2e-04	-1
-0.2	-0.1	1	iteration=11	11	2e-04	-1
-0.2	-0.1	1	iteration=12	12	2e-04	-1
-0.2	-0.1	1	iteration=12	12	2e-04	-1
-0.2	-0.1	1	iteration=13	13	2e-04	-1
-0.2	-0.1	1	iteration=13	13	2e-04	-1
-0.2	-0.1	1	iteration=14	14	2e-04	-1
-0.2	-0.1	1	iteration=14	14	2e-04	-1
-0.2	-0.1	1	iteration=15	15	2e-04	-1
-0.2	-0.1	1	iteration=15	15	2e-04	-1
-0.2	-0.1	1	iteration=16	16	2e-04	-1
-0.2	-0.1	1	iteration=16	16	2e-04	-1
-0.2	-0.1	1	iteration=17	17	2e-04	-1
-0.2	-0.1	1	iteration=17	17	2e-04	-1
-0.2	-0.1	1	iteration=18	18	2e-04	-1
-0.2	-0.1	1	iteration=18	18	2e-04	-1
-0.2	-0.1	1	iteration=19	19	2e-04	-1
-0.2	-0.1	1	iteration=19	19	2e-04	-1
-0.2	-0.1	1	iteration=20	20	2e-04	-1
-0.2	-0.1	1	iteration=20	20	2e-04	-1
-0.2	-0.1	1	iteration=21	21	2e-04	-1
-0.2	-0.1	1	iteration=21	21	2e-04	-1
-0.2	-0.1	1	iteration=22	22	2e-04	-1
-0.2	-0.1	1	iteration=22	22	2e-04	-1
-0.2	-0.1	1	iteration=23	23	2e-04	-1
-0.2	-0.1	1	iteration=23	23	2e-04	-1
-0.2	-0.1	1	iteration=24	24	2e-04	-1
-0.2	-0.1	1	iteration=24	24	2e-04	-1
-0.2	-0.1	1	iteration=25	25	2e-04	-1
-0.2	-0.1	1	iteration=25	25	2e-04	-1
-0.2	-0.1	1	iteration=26	26	2e-04	-1
-0.2	-0.1	1	iteration=26	26	2e-04	-1
-0.2	-0.1	1	iteration=27	27	2e-04	-1
-0.2	-0.1	1	iteration=27	27	2e-04	-1
-0.2	-0.1	1	iteration=28	28	2e-04	-1
-0.2	-0.1	1	iteration=28	28	2e-04	-1
