x	y	key	showSelected1	group
0	0	1	2e-04	-1
-0.00187192417240682	0.00721892774228054	1	2e-04	-1
-0.00371301526681975	0.0143485502244234	1	2e-04	-1
-0.00552373914965656	0.0213899831303455	1	2e-04	-1
-0.00730455497991882	0.0283443280913552	1	2e-04	-1
-0.00905591530291079	0.0352126728643437	1	2e-04	-1
-0.0107782661426745	0.0419960915077041	1	2e-04	-1
-0.0124720470931584	0.0486956445550078	1	2e-04	-1
-0.0141376914081371	0.0553123791864667	1	2e-04	-1
-0.0157756260898982	0.0618473293982102	1	2e-04	-1
-0.0173862719767137	0.0683015161694044	1	2e-04	-1
-0.0189700438291123	0.074675947627241	1	2e-04	-1
-0.0205273504149681	0.0809716192098235	1	2e-04	-1
-0.022058594593423	0.0871895138269776	1	2e-04	-1
-0.0235641733976567	0.0933306020190128	1	2e-04	-1
-0.0250444781165225	0.0993958421134597	1	2e-04	-1
-0.0264998943750609	0.105386180379812	1	2e-04	-1
-0.0279308022139098	0.111302551182294	1	2e-04	-1
-0.0293375761676231	0.117145877130685	1	2e-04	-1
-0.0307205853419145	0.122917069229222	1	2e-04	-1
-0.0320801934898405	0.128617027023601	1	2e-04	-1
-0.0334167590869359	0.134246638746111	1	2e-04	-1
-0.034730635405318	0.139806781458918	1	2e-04	-1
-0.0360221705867719	0.145298321195522	1	2e-04	-1
-0.037291707714831	0.150722113100415	1	2e-04	-1
-0.0385395848858664	0.156079001566959	1	2e-04	-1
-0.0397661352791996	0.161369820373505	1	2e-04	-1
-0.0409716872262494	0.166595392817789	1	2e-04	-1
-0.0421565642787291	0.171756531849603	1	2e-04	-1
-0.0433210852759038	0.176854040201788	1	2e-04	-1
0	0	1	3e-04	-1
-0.00280788625861023	0.0108283916134208	1	3e-04	-1
-0.00554639809173421	0.0214558463915319	1	3e-04	-1
-0.00821710779853188	0.0318861297675525	1	3e-04	-1
-0.0108215537218688	0.0421229360333722	1	3e-04	-1
-0.0133612409599936	0.0521698896926893	1	3e-04	-1
-0.0158376420635927	0.06203054678827	1	3e-04	-1
-0.0182521977185199	0.0717083962038295	1	3e-04	-1
-0.0206063174144892	0.081206860941018	1	3e-04	-1
-0.0229013801000174	0.0905292993719941	1	3e-04	-1
-0.0251387348238944	0.0996790064680505	1	3e-04	-1
-0.0273197013634543	0.108659215004754	1	3e-04	-1
-0.0294455708399155	0.117473096744053	1	3e-04	-1
-0.031517606321052	0.126123763593787	1	3e-04	-1
-0.0335370434114527	0.134614268745039	1	3e-04	-1
-0.0355050908306216	0.14294760778776	1	3e-04	-1
